invoice_id,customer_id,issue_date,due_date,total_amount,open_amount,status,dispute,promise_14d
INV-0201,C001,2026-05-10,2026-06-09,92000,92000,open,no,yes
INV-0210,C002,2026-06-01,2026-07-01,68000,38000,partial,no,yes
INV-0218,C003,2026-06-18,2026-07-18,51000,51000,open,yes,no
INV-0225,C004,2026-07-01,2026-07-31,43000,43000,open,no,yes
INV-0232,C005,2026-07-05,2026-08-04,74000,74000,open,yes,no
INV-0241,C007,2026-05-23,2026-06-23,41800,41800,open,no,no
INV-0244,C008,2026-06-12,2026-07-12,57000,57000,open,yes,no
INV-0250,C006,2026-07-20,2026-08-19,36000,36000,open,no,yes
INV-0258,C001,2026-07-28,2026-08-27,61000,61000,open,no,yes
INV-0260,C003,2026-08-02,2026-09-01,82000,82000,open,no,no
INV-0263,C005,2026-08-05,2026-09-04,96000,96000,open,no,no
INV-0268,C002,2026-08-10,2026-09-09,47000,47000,open,no,no
INV-0270,C004,2026-08-12,2026-09-11,33000,33000,open,no,no
INV-0188,C002,2026-03-15,2026-04-14,125000,0,paid,no,no
INV-0192,C005,2026-04-02,2026-05-02,149000,0,paid,no,no
INV-0195,C003,2026-04-15,2026-05-15,89000,0,paid,no,no
INV-0198,C006,2026-04-28,2026-05-28,78000,0,paid,no,no
INV-0204,C004,2026-05-18,2026-06-17,99000,0,paid,no,no
INV-0207,C008,2026-05-25,2026-06-24,117000,0,paid,no,no
